"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\kathe\OneDrive\Documents\Examples\Flutter\word_puzzles\lib\fourdle\fourdlestate.dart", "Dart", 21, 6, 4, 31
"c:\Users\kathe\OneDrive\Documents\Examples\Flutter\word_puzzles\lib\hexel\hexelstate.dart", "Dart", 1, 4, 3, 8
"c:\Users\kathe\OneDrive\Documents\Examples\Flutter\word_puzzles\lib\main.dart", "Dart", 8, -1, 1, 8
"c:\Users\kathe\OneDrive\Documents\Examples\Flutter\word_puzzles\lib\utils\types.dart", "Dart", 1, 16, 1, 18
"Total", "-", 31, 25, 9, 65
